data,produto,preco,desconto,loja,endereco,cidade,uf,regiao
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,-4.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Heineken Garrafa 600ml,12.69,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,14.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Amstel Lager Lata 473ml,4.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.39,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Blue Moon Garrafa 355ml,10.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,14.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Lagunitas IPA Lata 350ml,8.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Eisenbahn American IPA Lata 350ml,5.69,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.79,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Devassa Puro Malte Lata 473ml,4.29,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-8.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Heineken Barril 5L,119.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Corona Extra Pilsen 330ml Long Neck,6.39,-7.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cerveja Heineken Garrafa 600ml,11.99,-6.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,13.9,-7.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.59,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,13.9,-7.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn American IPA Lata 350ml,5.69,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.19,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.79,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,4.09,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Barril 5L,109.99,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Extra Pilsen 330ml Long Neck,6.39,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Original Pilsen 350ml Lata,3.99,-17.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Cero Sunbrew N Long Neck 330-ml,6.39,-20.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 600ml,11.99,-6.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,13.9,-7.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.59,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,13.9,-7.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn American IPA Lata 350ml,5.59,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.19,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.79,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-15.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Barril 5L,109.99,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Original Pilsen 350ml Lata,3.99,-13.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Cero Sunbrew N Long Neck 330-ml,6.39,-17.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Munich Helles Puro Malte Spaten Lata 269ml,3.39,-6.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Pilsen Lata 350ml,5.69,-5.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 600ml,11.99,-6.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,13.9,-7.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.69,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,13.9,-7.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn American IPA Lata 350ml,5.69,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.19,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.79,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-15.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Barril 5L,109.99,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Original Pilsen 350ml Lata,3.99,-13.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Cero Sunbrew N Long Neck 330-ml,6.39,-24.0,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Munich Helles Puro Malte Spaten Lata 269ml,3.39,,Hiper Manaus Adrianópolis,"Hiper Manaus Adrianópolis
Avenida Jornalista Humberto Calderaro
Adrianópolis, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 600ml,11.99,-6.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,13.9,-7.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.69,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,13.9,-7.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn American IPA Lata 350ml,5.69,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.19,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-19.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Extra Pilsen 330ml Long Neck,6.39,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Original Pilsen 350ml Lata,3.99,-17.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Munich Helles Puro Malte Spaten Lata 269ml,3.39,-6.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Corona Pilsen Lata 350ml,5.69,-5.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Michelob Ultra Superior Light Beer Garrafa 330ml,5.49,-20.0,Hiper Manaus Shopping,"Hiper Manaus Shopping
Avenida Djalma Batista
Chapada, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cerveja Heineken Garrafa 600ml,12.69,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,-4.0,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,12.69,-15.0,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,6.39,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Amstel Lager Lata 473ml,4.99,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Eisenbahn Pilsen Long Neck 355ml,5.39,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Blue Moon Garrafa 355ml,10.99,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,14.99,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Devassa Puro Malte Lata 473ml,4.29,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-8.0,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Heineken Barril 5L,119.99,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,5.99,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Corona Cero Sunbrew N Long Neck 330-ml,6.39,-7.0,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Corona Pilsen Lata 350ml,5.79,,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Zero Álcool Budweiser Lata 350ml,3.99,-5.0,Hiper Itabuna,"Hiper Itabuna
Avenida Aziz Maron
GOES CALMON, Itabuna - BA",Itabuna/BA,BA,Nordeste
2025-06-18,Cerveja Heineken Garrafa 600ml,12.69,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,12.29,-18.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,5.19,-31.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Eisenbahn Pilsen Lata 269ml,3.69,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Blue Moon Garrafa 355ml,11.39,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,14.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Lagunitas IPA Lata 350ml,7.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.79,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.79,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-13.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Barril 5L,99.9,-9.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Budweiser American Lager Lata 269 ml,2.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Corona Extra Pilsen 330ml Long Neck,6.39,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Garrafa 600ml,12.69,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden Golden Ale Garrafa 600ml,12.29,-18.0,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,5.19,-31.0,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Eisenbahn Pilsen Lata 269ml,3.69,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Blue Moon Garrafa 355ml,11.39,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,14.99,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Lagunitas IPA Lata 350ml,7.99,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.79,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,3.49,-13.0,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Corona Extra Pilsen 330ml Long Neck,6.39,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Lager Premium Puro Malte Stella Artois 330ml,6.09,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Original Pilsen 350ml Lata,3.99,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Corona Cero Sunbrew N Long Neck 330-ml,6.39,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Garrafa 600ml,12.69,,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Heineken Garrafa 330ml,6.49,,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden IPA Lata 350ml,5.19,-34.0,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Blue Moon Garrafa 355ml,10.99,-28.0,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Baden Baden Witbier Coentro e Laranja Garrafa 600ml,14.99,,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,6.79,,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-18,Cerveja Devassa Puro Malte Lata 269ml,2.89,,Bairro Asa Norte Ii,"Bairro Asa Norte Ii
SEP/NORTE EQ
Asa Norte, Brasília - DF",Brasília/DF,DF,Centro-Oeste
